id,fullText,label
1939442027986346266,"oficialmente me mudé y que nostalgia tan arrecha

ahora se viene una etapa demasiado linda y le agradezco mucho a esa casita por todo lo que viví ahí",1.0
1939430574571364480,#Hipismo Todos ejemplares que corrieron en esa carrera donde ganó Astuto fuesen corridos está Copa Holly Rincón y la carrera fuese sido arrecha,1.0
1939425264980680969,Estoy muerta de risa con el video de los quince años de la Burrita y como se arrecha cuando le llevan mariachis jajsjsjsjsjsjsjs por eso yo pedí que no me hagan esa payasada.,1.0
1939408675753632177,"No me importa si mi tía se arrecha o mi papá pero a mí esa vaina de estar bebiendo en la casa con esa gente mal educada, grosera y borracha yo no camino, perdón",-1.0
1939352335668670630,"@Movev_zulia @CarlosGarc1a @carlaangola @PattyPoleo @MariaCorinaYA Esa gente si es arrecha, acostumbrada al trabajo duro, arriba los gochos!!!!",1.0
1939119534381650267,"@Gorila081 Ya manin, pero por lo menos hay que decirle a la gente que debería estar arrecha por eso. 
Porque de ñapa, a parte de eso, tienes a imberbes que dicen ""bueno pero eso ya es de ellos"". Así cualquiera pierde territorio. 
No, esa NO DEBERIA ser nuestra postura.",1.0
1939106072486174812,@majogavilanesa Ya nos tienen acostumbrados y aún así arrecha cuando se dejan empatar de esa manera,-1.0
1939083889684697253,"Ya estaba arrecha con la vida hoy para que me digan que tengo que hacer la vaina yo sola porque ""es lo más prudente"" cuando ustedes hicieron mal esa vaina porque no estuve porque me estaba muriendo y aparte no preguntaron",-1.0
1939007739294031954,"@Thor_luisXVII Más arrecha es la izquierda, con esa ni los abuelos han nacido.",-1.0
1938691497089524003,@ivanmartinezg7 @moquina80 @majogavilanesa @CSEmelec @ElCanalDFutbol Jajajajajajaja cojan esa puta q anda como arrecha,0.0
2006138813756661994,"@ecuadoraldia365 Esa señora si es arrecha, deja sus hijos por un hombre y luego llega como si no hubiera pasado nada 
Que la saquen de la casa a la fuerza si es nesesario  
Sinverguenza",0.0
2006045069086781896,Tan sencillo como que era aceptar la derrota y ser oposición pero la ambición de poder es demasiado arrecha y se entiende cuando prácticamente tienes un país de rodillas no es fácil soltar esa teta,-1.0
2005823361620889978,"@PaolaAstorga202 Oye malparida tu eres cule arrecha, porque lo unico que detallastes de esa foto era si tenia la monda parada o no… Que mente llena de tanta verga debes tener.",-1.0
2005787651862057161,Coño pero q arrecha es esta tipa no joda. Apuesto lo q sea q cuando estén en el poder van a terminar de desenmascarar a toda esa basura burocrática q quiso voltear hacia otro lado. Lo mejor USA va a apoyarlos.,-1.0
2005715216949186930,me tiene arrecha esa vaina ahora de que todos en el maldito tigre ahora se creen influencer y grabando a la gente en la calle nada más pq se vista diferente por unos malditos 5 likes ahora todo lo quieren subir a tiktok #denunciapublica,-1.0
